timestamp,sessionId,participantId,trialIndex,trialElapsed,speakerId,azimuth,range,direction,distance,speakingState,turnState,semanticToken,utteranceText,semanticConfidence,condition
6.273,20260630_140909,P00,1,5.190,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.273,20260630_140909,P00,1,5.190,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.273,20260630_140909,P00,1,5.190,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.374,20260630_140909,P00,1,5.290,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.374,20260630_140909,P00,1,5.290,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.374,20260630_140909,P00,1,5.290,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.474,20260630_140909,P00,1,5.391,A,-21.25,3.86,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.474,20260630_140909,P00,1,5.391,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.474,20260630_140909,P00,1,5.391,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.575,20260630_140909,P00,1,5.491,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,INSTRUCTION,"Move this object forward, please.",0.90,TRADITIONAL
6.575,20260630_140909,P00,1,5.491,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.575,20260630_140909,P00,1,5.491,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.675,20260630_140909,P00,1,5.591,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,INSTRUCTION,"Move this object forward, please.",0.90,TRADITIONAL
6.675,20260630_140909,P00,1,5.591,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.675,20260630_140909,P00,1,5.591,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.775,20260630_140909,P00,1,5.692,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,INSTRUCTION,"Move this object forward, please.",0.90,TRADITIONAL
6.775,20260630_140909,P00,1,5.692,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.775,20260630_140909,P00,1,5.692,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.875,20260630_140909,P00,1,5.792,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,INSTRUCTION,"Move this object forward, please.",0.90,TRADITIONAL
6.875,20260630_140909,P00,1,5.792,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.875,20260630_140909,P00,1,5.792,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.975,20260630_140909,P00,1,5.892,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,INSTRUCTION,"Move this object forward, please.",0.90,TRADITIONAL
6.975,20260630_140909,P00,1,5.892,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
6.975,20260630_140909,P00,1,5.892,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
7.077,20260630_140909,P00,1,5.993,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,INSTRUCTION,"Move this object forward, please.",0.90,TRADITIONAL
7.077,20260630_140909,P00,1,5.993,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
7.077,20260630_140909,P00,1,5.993,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
7.177,20260630_140909,P00,1,6.094,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,INSTRUCTION,"Move this object forward, please.",0.90,TRADITIONAL
7.177,20260630_140909,P00,1,6.094,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
7.177,20260630_140909,P00,1,6.094,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
7.277,20260630_140909,P00,1,6.194,A,-21.25,3.86,FRONT,FAR,SPEAKING,TURN_HOLDER,INSTRUCTION,"Move this object forward, please.",0.90,TRADITIONAL
7.277,20260630_140909,P00,1,6.194,B,19.65,4.46,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
7.277,20260630_140909,P00,1,6.194,C,1.97,5.80,FRONT,FAR,SILENT,LISTENER,NONE,,0.00,TRADITIONAL
